Area,Price
160,4895
132,5850
84,4900
199,10300
140,6700
131,6800
171,6120
110,5350
150,7700
162,7250
120,6000
90,4600
75,3625
105,5000
110,5900
194,3400
243,6450
152,7550
108,4050
80,1900
173,6550
125,6330
120,6080
212,7850
210,7800
121,4900
117,7300
240,6900
65,3400
188,7100
72,4597
226,8600
120,4050
145,7700
105,5300
